artist,release,label,review,category
Camille Doughty,Elijah Rock,Honest Jon's Records,"Camille Doughty from Columbus, Ohio, in full flight over a gritty, funk-rock version of the gospel evergreen most famously recorded by Mahalia Jackson twenty years earlier; with some hard-grooving, Sam Cooke-style testifying on the flip, from The Singing Sons of Washington, D.C.
Beautifully sleeved; in limited numbers.",Blues
Leroy Carr And Scrapper Blackwell,"Naptown Blues, 1929-1934",Yazoo,NA,Blues
Bo Carter,Banana In Your Fruit Basket,Yazoo,NA,Blues
Champion Jack Dupree,Blues From The Gutter,Atlantic,NA,Blues
Ray Charles,What'd I Say,Atlantic,NA,Blues
Ray Charles,The Genius Sings The Blues,Atlantic,"A lucky seven of Ray Charles’ classic Atlantic LPs meticulously reissued by Rhino (amidst a sea of bootlegs). All kicking mono, 180g vinyl, with the iconic artwork properly buffed up.
If you get just one to start with, we’d recommend this, gathering together his bluesier cuts for the label, at the end of his stay.
The almighty, pitch-dark I Believe To My Soul is here, for example. Everybody needs a copy handy for emergencies.
‘Last night you were dreaming and I heard you say “Oh, Johnny”, when you know my name is Ray. That’s why I believe right now (I believe, yes, I believe), I say I believe right now (I believe, yes, I believe), well, I believe to my soul now… You’re tryin’ to make a fool of me. (I believe it)﻿.’",Blues
Ray Charles,Yes Indeed!,Atlantic,NA,Blues
Ray Charles,"Sinner's Prayers, 1951-54",Rev-Ola,NA,Blues
Ray Charles,The Great Ray Charles,Atlantic,NA,Blues
Ray Charles,The Genius Of Ray Charles,Atlantic,NA,Blues
Ray Charles,Pure Genius,Atlantic,NA,Blues
Ray Charles,Ray Charles,Atlantic,NA,Blues
Ray Charles,At Newport 1960,Waxtime,NA,Blues
Ray Charles,Modern Sounds In Country & Western Music,Jazz Images,NA,Blues
Ray Charles,The Genius After Hours,Atlantic,NA,Blues
Chicago Slickers,1948-1953,Nighthawk,"‘Sixteen classic recordings from Chicago’s heyday as a blues centre’; sides by the likes of Little Walter and Homesick James, on lost labels like Parkway, Tempotone and Random. 
‘Once I had a woman who treat me nice and kind / but these Chicago slickers made my baby change her mind.’
Stuffed with killers, but Johnny Shines’ Ramblin’ is downright unmissable.",Blues
Chicago Slickers,Volume 2: 1948-1955,Nighthawk,"A second volume of ‘the best and rarest Chicago blues of the early postwar era.’ Little Walter, Muddy Waters, Sunnyland Slim, Floyd Jones, Snoooky Pryor, Roosevelt Sykes… all present and correct. 
You need it for Johnny Shines’ Living In The White House, about setting society to rights, over the rocking saxophone of J.T. Brown. ‘I want to live in paradise, make servants out of kings and queens / Now don’t shake me please darlin / This is one time I want to finish my dream.’",Blues
Christians Catch Hell,"Gospel Roots, 1976-79",Honest Jon's Records,"Utterly magnificent, sublimely soulful survey of the Gospel Roots label, subsidiary of the mighty TK Records at the height of the Miami Sound.
A&R was co-ordinated by Gospel legends Ira Tucker — from the Dixie Hummingbirds — and Ralph Bass, veteran producer with Savoy, King and Chess. The label was run by Timmy Thomas, who had recently smashed with Why Can’t We Live Together, for another TK spin-off, Glades. Operations were overseen by Henry Stone himself, unlikely King of Disco, who had recorded a young Ray Charles, and pushed forward James Brown. They drew in artists from all over the US, from St. Louis, Columbus, Memphis, Brooklyn, Cabrini Green in Chicago: unknowns like Camille Doughty, reluctant to jeopardise her job at GM (‘Generous Motors’) in Detroit, and huge-sellers like the revered Brooklyn All Stars, who started out on Peacock in 1958. 
Choral belters, deep ballads, harmony quartets, epic city-blues, gritty funk, powerhouse female soul… Killer-diller Philly like a scorching version of Harold Melvin & The Blue Notes’ Wake Up Everybody; and Jean Austin’s raw Spirit Free, co-written by Ronnie Dyson, produced by Jesse James at Future Gold. Chicago Sound like The Fantastic Family Aires — named after the family’s furniture store on North Cicero, but reminiscent of the Staple Singers at their best — through to the full-blown glory of The Fountain Of Life Joy Choir, led by Marvin Yancy from The Independents, and featuring Natalie Cole… Singers like Versie Mae Gibson, from the Jordans, by rights up there with Irma, Etta and Ree… Bangers 100%-guaranteed to find their way into Theo Parrish sets; and mortal delirium for the prissiest of soul and gospel purists.
Beautifully presented… the LPs with a 12”-square, full-colour, sixteen-page album of photos and original artwork, the CD with a forty-page booklet — and truly outstanding notes, including insightful new interviews across the board; mastered at Abbey Road.
Dread and civitas, for Christmas; grit and transcendence.",Blues
"Clarence ""Frogman"" Henry",Baby Ain't That Love: Texas & Tennessee Sessions 1964-1974,Ace,NA,Blues
Classic Piedmont Blues,,Folkways,NA,Blues
The Coasters,One By One,Rumble,NA,Blues
Como Now,"The Voices Of Panola Co., Mississippi",Daptone,"Following Alan Lomax, Daptone placed a small local ad, asking singers to show at Mt Marian Church a certain Saturday. This marvellous record of acappella gospel is the result, including everyone who showed up.",Blues
Copulatin' Blues,,Stash,"Sparkling, uproarious ragtime and blues — randy, porno and ooh-er — with Sidney Bechet, Bessie Smith and Jelly Roll Morton.
Lucille “got-fat-from-fuckin” Bogan is the filthiest of the lot: “I got nipples on my titties, big as the end of my thumb, I got somethin’ between my legs’ll make a dead man come.”",Blues
Darby & Tarlton,,Mississippi,NA,Blues
Sam Dees,It's All Over,Kent,"More compelling salvage from his 1970s period with Clinton Moon’s Showtime Productions, debuting the ballads We’ve Got To Get It Together and Child’s Play, the social protest of Today Is A New Day and Singing In Poverty, and dancefloor action like Total Love, A Case Of The Boogie and the sensual Gimme A Little Action — besides top-notch alternate mixes, like So Tied Up and What’s It Gonna Be from The Show Must Go On, and new versions of Alpaca Phase Three’s Someone To Run To, featuring a previously unheard SD rap, and Touch Me With Your Love, adding more than a minute…",Blues
Bo Diddley,Where It All Began,Chess,NA,Blues
Bo Diddley,The Black Gladiator,Checker,"Heavy, heavy funk monster — the best of his late-60s, early-70s releases. Unrelenting, in-your-face energy.",Blues
Bo Diddley,Have Guitar Will Travel,Checker,NA,Blues
Bo Diddley,Bo's Blues,Ace,NA,Blues
Bo Diddley,Bo Diddley's Beach Party,Hip-O Records,Tearing up California with the Duchess and Jerome in 1963. Just listen to Hey Bo Diddley. No wonder the cops got the willies.,Blues
Bo Diddley,"Have Guitar Will Travel, In The Spotlight",Hoodoo,"Almighty God himself, with two prime Checkers, and five extras. Have Guitar is just awesome stuff. You don’t know diddley if you don’t know Diddley.",Blues
Bo Diddley,Big Bad Bo,Chess,CD from Get Back.,Blues
Bo Diddley,"Bo Diddley Is A Gunslinger, Bo Diddley Is A Lover",Hoodoo,"Whatever, Trevor. We’ve said it before and we’ll say it again… Bo Diddley is God.
The two stupendous Checker LPs from the Chocolate City, 1960-1, with Willie Dixon, Otis Spann and co.",Blues
Bo Diddley,Another Dimension,Chess,NA,Blues
Bo Diddley,In The Spotlight,Rumble,"From 1960, kicking off imperiously with his smash Road Runner.",Blues
Bo Diddley,"Bo Diddley And Company, Bo Diddley's A Twister",Hoodoo,NA,Blues
Bo Diddley,Bo Diddley's A Twister,Dol,"He released three Checker LPs in 1962: this rounds up killers like Detour, Road Runner, Who Do You Love and Here Tis. ‘Got a brand new house on the roadside / Made from rattlesnake hide.’",Blues
Bo Diddley,,Rumble,"Genius 1964 LP — one of three His Highness released that year — containing reflections on the Cold War and sexual infidelity, a couple of Twists and some wildly futuristic Surf (in Sad Sack), key BD like You Can’t Judge A Book, and dreadful instrumental murder like Diddling and Bo’s Bounce. ‘You got your radio turned down too low. Turn it up!’",Blues
Bo Diddley,Is A Gunslinger,Checker,NA,Blues
"Bo Diddley, Muddy Waters, Little Walter",Superblues,Get On Down,NA,Blues
Dolly Lyon,Palm Of Your Hand,Apollo,NA,Blues
Dr John,Gris-Gris,Atco,NA,Blues
Dr John,The Sun Moon And Herbs,Atco,NA,Blues
Arizona Dranes,He Is My Story: The Sanctified Soul Of Arizona Dranes,Tompkins Square,"Pentecostal vocal delirium and fine, secular, Texan pianism, recorded by OKeh in 1926. Michael Corcoran tells AD’s story.",Blues
Snooks Eaglin,New Orleans Street Singer,Folkways,NA,Blues
Earl King,Let The Good Times Roll - Singles 1955-1962,Jasmine,NA,Blues
Eddie Bo,Baby I'm Wise - The Complete Ric Singles 1959-1962,Ace,"Classic New Orleans rhythm and blues, same cloth as Lee Dorsey and Ernie K Doe, before funk got a hold.",Blues
Elmore James And John Brim,Whose Muddy Shoes,Dol,NA,Blues
Sleepy John Estes,I Ain't Gonna Be Worried No More,Monk,"The Tennessean’s distinctive, emotional songs, 1929-37, often in small group settings, with piano, second guitar, Yank Rachel’s mandolin. Stuff here done over by The Kinks, Dylan, Led Zep, Muddy Waters.",Blues
Eureka Brass Band,Dirges,Mississippi,NA,Blues
John Fahey,Yes! Jesus Loves Me: Guitar Hymns,Takoma,"Heartfelt hymns and songs of praise, deconstructed and rebuilt. Sometimes reverent, sometimes raging, sometimes playful, always spellbinding. ‘Christ Is Not Cute’ runs the Fahey quote on the sleeve. A beauty.",Blues
Georgie Fame,Mod Classics 1964-1966,BGP,"Jazz, soul and rhythm and blues by this pivotal figure, from the LPs Live At The Flamingo, and Sound Venture, with the cream of UK jazzmen. Swinging Soho does Stax, Latin, Stevie, Louis Jordan, Mose, Oscar Brown…",Blues
Fats Domino,Rare Dominos Volumes 1 And 2,BGO,"Rocking Fat Man Imperials, obscure but genius.",Blues
Fats Domino,"The Imperial Singles, Volume 4: 1959-1961",Ace,The hits keep coming — just two of the twenty-six tracks here fell short of the US Top 30.,Blues
The First Rock And Roll Record,,Famous Flames,"The evolution of rock ‘n roll music — intoxicating tasters of blues, jazz, swing, RnB, Gospel, bluegrass barrelhouse boogie woogie and western swing… anything rocking. Five stars from The Guardian.",Blues
Flora Molton,Gospel Songs,Ocora,"Rough, rousing gospel recorded live in 1987 by the seventy-nine-year-old (who came through busking in Washington DC). Mostly traditional songs, with Flora’s full-flavoured singing self-accompanied on slide, and extra guitar backing by Eleanor Ellis.",Blues
"Folks, He Sure Does Pull Some Bow!","Vintage Fiddle Music, 1927-1935",Old Hat,NA,Blues
Fools Paradise Favorites,50s & 60s Bop Slop And Schlock,Jazzman,NA,Blues
Frank Stokes' Dream,"The Memphis Blues, 1927-1931",Yazoo,"Stokes, Memphis Minnie, Furry Lewis, Gus Cannon and co. 180g, well-pressed.",Blues
Aretha Franklin,Amazing Grace,Atlantic,NA,Blues
Aretha Franklin,Aretha Gospel,Chess,NA,Blues
Aretha Franklin,The Gospel Soul Of Aretha Franklin,Rumble,NA,Blues
Aretha Franklin,Songs Of Faith,Geffen,NA,Blues
Aretha Franklin,Amazing Grace: The Complete Recordings,Atlantic,"Both her utterly transcendent performances at the New Temple Missionary Baptist Church, Los Angeles, on January 13 and 14, 1972. Never on vinyl before (in their entirety). 180g, via Rhino.
The Queen at her most magnificent.",Blues
Blind Boy Fuller,Truckin' My Blues Away,Yazoo,NA,Blues
Furry Lewis,In His Prime 1927-1928,Yazoo,"‘To hear fully the subtlety in Furry’s singing is to gain an insight not only into the singer, but into the creative process of the blues itself,’ wrote Sam Charters. Vocalions and Victors by the Memphis legend.",Blues
Furry Lewis,I Will Turn Your Money Green,Monk,"The Memphis bluesman’s finest recordings, from the late 1920s. 
Compelling stories in song, like John Henry and Casey Jones.",Blues
Furry Lewis,Good Morning Judge,Fat Possum,"The all-time-great recorded in 1962 — when he was a street-sweeper in Memphis — by George Mitchell (as championed recently by Mississippi Records). 
Lovely stuff, kicking off with Good Morning Judge, a revive of his own Judge Harsh Blues, from the late-1920s.
‘People all talking about what they will do / Judge all talking about what they will do / If they had justice he’d be in the penitentiary, too.’",Blues
Clarence Garlow,New Bon Ton Roulay,Juke Box Jam,Thumping Cajun rhythm-and-blues rumba.,Blues
Give Me My Flowers,,Third Man,"A survey of Nashboro Records gospel, by Mike McGonigal of the Detroit Gospel Reissue Project.",Blues
Good God!,Born Again Funk,Numero,A triumphant sequel to the Gospel Funk Hymnal.,Blues
Good God!,A Gospel Funk Hymnal,Numero,"Primitive choirs, spacious breaks, congas, old-boy rappers impersonating the devil, cast-recordings, thumping bass, and JB copyists — all with a heavy slathering of gospel gravy.",Blues
Good God!,Apocryphal Hymns,Numero,"Third in Numero’s series of otherworldly gospel, robed funk, and spiritual soul: heavenly harmonies, psychedelic guitars, damaged sacred steel, off-kilter choirs, and consumer-side electronic percussion…",Blues
"Goodbye, Babylon",,Dust To Digital,"Dylan gave it to an enthused Neil Young: ‘the original wealth of our recorded music, the cream of the crop… it’s incredible. It’s in a wooden box and everything, and it’s just so beautiful.’",Blues
The Gospel According To Budgie,II,BDG,"Invigorating, intrepid mixtape-overview of a neglected period in gospel music, flowing irresistibly through sweet two-step, hard funk, disco stompers, jazz fusion, soul ballads etc.",Blues
Greg Belson's Divine Disco,American Gospel Disco 1974-1984,Cultures Of Soul,NA,Blues
Greg Belson's Divine Disco,"Volume Two: Obscure Gospel Disco, 1979-1987",Cultures Of Soul,NA,Blues
Guitar Slim Green,Stone Down Blues,BGP,"Excellent 1970 blues album, tough and engaging. With Shuggie Otis on bass and guitar, and his dad on drums. Don’t miss This War Ain’t Right… from the Dreamland somewhere between Percy Mayfield and JB Lenoir.",Blues
Harmonica Blues,Great Harmonica Performances of the 1920s and 30s,Yazoo,NA,Blues
Wynonie Harris,"Rock, Mr Blues!",Rev-Ola,"Wild King and Atco sides from 1949-56. Drunken, sexed-up, two-fingers masterpieces like Good Morning Judge and Lovin’ Machine.",Blues
Hayes McMullan,Everyday Seem Like Murder Here,Unspecified,NA,Blues
The Hokum Boys,You Can't Get Enough Of That Stuff,Yazoo,"Bumptious sauce recorded for Paramount in 1929 by different lineups including Leroy Carr, Scrapper Blackwell, Tampa Red and Blind Blake, and Bob Robinson on banjo and clarinet. Archetypal Crumb; 180g.",Blues
Home Again Blues,,Mamlish,"Terrific selection of down-home, city-bound blues, 1946-53. 
To a tasty mandolin accompaniment, Luther Huff sets the tone with the opening words: ‘1950, lord, was not my year.’ Sunnyland Slim wails about being called up to fight in Korea, with reeling accompaniment by Snooky Pryor and Baby Face Leroy. Hot Rod Happy just wants to die: ‘put me deep down in my grave… pour clay dirt in my face.’ Don’t miss the roughety toughety Delta manners of LC Green, from Detroit; Sunnyland Slim and Robert Lockwood wigging out behind Baby Face Leroy; and the Jamaican Eddie Kirkland from the John Lee Hooker set-up, characteristically searing and gawn.
‘Lou Ella, she had some gin-head neighbour with an old piece of car. She’d come in late hours at night. I’d ask here where she’d been she’d say, Daddy, right around the corner, but not so far.’",Blues
Homesick James & Snooky Pryor,Sad And Lonesome,Wolf,NA,Blues
Earl Hooker,2 Bugs And A Roach,Arhoolie,NA,Blues
Lightnin' Hopkins,His Blues,Ace,The first proper overview.,Blues
Lightnin' Hopkins,,Waxtime,"1959 recordings by Sam Charters, in Lightnin’s Houston apartment, holding the sole microphone up to the guitar.",Blues
Lightnin' Hopkins,Dirty Blues,Mainstream,NA,Blues
Lightnin' Hopkins,Autobiography In Blues,Tradition,NA,Blues
Lightnin' Hopkins,Lightnin' And The Blues,Herald,NA,Blues
Lightnin' Hopkins,Walkin' This Road By Myself,Bluesville,NA,Blues
Lightnin' Hopkins,Low Down Dirty Blues,Mainstream,NA,Blues
Lightnin' Hopkins,Country Blues,Dol,NA,Blues
Hound Dog Taylor And The Houserockers,,Alligator,"Terrific, raw, rocking Chicago blues from 1971. ‘Wild, raucous, crazy music straight out of the South Side clubs. The incessant drive of Hound Dog’s playing is best heard on Give Me Back My Wig, 55th Street Boogie, and Taylor’s Rock, while the sound of Brewer Phillips’ Telecaster on Phillips’ Theme gives new meaning to the phrase ‘sheet metal tone’. One of the greatest slide guitar albums of all time’ (All Music).",Blues
Son House,Father Of Folk Blues,Columbia,"Riveting 1965 review of his own staggering classics like Death Letter and John The Revelator, thrashed by everyone from Captain Beefheart to Jack White. ",Blues
Son House,John The Revelator,The Devil's Tunes,NA,Blues
Son House,The Real Delta Blues,Blue Goose,NA,Blues
Peg Leg Howell,The Legendary Peg Leg Howell,Sutro Park,"Quiet, haunting, steeply poignant recordings by the veteran bluesman, aged seventy-five. Originally released by Testament in 1963, with the same powerful, front-cover woodcut. A classic.",Blues
Howlin' Wolf,More Real Folk Blues,Dolchess,NA,Blues
Howlin' Wolf,The Real Folk Blues,Dolchess,NA,Blues
Howlin' Wolf,Howlin' Wolf Album,Get On Down,"Timeless funky blues from 1969, including Evil, produced by Charles Stepney and Gene Barge for Chess.",Blues
Howlin' Wolf,Message To The Young,Get On Down,NA,Blues
Howlin' Wolf,Howlin' Wolf,Dol,NA,Blues
Huey Piano Smith,Don't You Just Know It - The Very Best Of 1956-1962,Jasmine,NA,Blues
I Am On The Battlefield For My Lord,Jamaican Gospel Vol. 3,Buked And Scorned,NA,Blues
I Have My Liberty!,"Gospel Sounds From Accra, Ghana",Dust To Digital,"Recent church recordings: distorted PAs, female lead singers, claps, tambourines, ramshackle guitars move the earth to get congregations on their feet. Crossing Opika Pende and Johnny L. Jones, says the label.",Blues
I Woke Up One Morning In May,,Mississippi,"Following up Last Kind Words, more country blues from 1927-34, mixing the celebrated and the unknown. Lovingly done as always by Mississippi.",Blues
I'm Going Where The Water Drinks Like Wine,18 Unsung Bluesmen: Rarities 1923-1929,Sub Rosa,NA,Blues
I'm In A Strange Town,Blues And Gospel 1927-1967,Mississippi,"Says the label: ‘A record filled with some of Mississippi Records favorite recordings  — ripping guitar work outs, soulful ballads, loping drunken jug bands and more. All songs are on the theme of travel, death and transcendence. Got an existential crisis? This may be the record for you.’",Blues
If I Had A Pair Of Wings,"Jamaican Doo Wop, Vol. 1",Death Is Not The End,NA,Blues
If I Had A Pair Of Wings,"Jamaican Doo Wop, Vol. 2",Death Is Not The End,A second helping as warmly pleasurable as the first.,Blues
Imaginational Anthem,6: Origins Of American Primitive Guitar,Tompkins Square,NA,Blues
Instrumental Explosion,Incendiary Funk And R 'N B Instrumentals 1966-1973,BGP,NA,Blues
J.B. Hutto & His Hawks,Hawk Squat,Delmark,NA,Blues
Lil Son Jackson,,Arhoolie,NA,Blues
Jamaica,"Rhythm And Blues, 1956-61",Fremeaux,NA,Blues
Elmore James,Original Folk Blues,Dol,NA,Blues
Elmore James,Genius Blues,Dol,NA,Blues
Elmore James,I Need You,Sphere Sound,NA,Blues
Elmore James,The Sky Is Crying,Sony,NA,Blues
Elmore James,The Complete Singles As & Bs,Acrobat,"Rawly violent, distorted, in-your-face, monumental scorchers, roaring out of Robert Johnson. 
‘I feel bad, I feel terrible, I’m just as sad as I can be. I feel bad, I feel terrible, I’m just as sad as I can be. I let a boy that’s twelve years old take my baby away from me.’",Blues
Elmore James,Blues After Hours,Rumble,NA,Blues
Etta James,Miss Etta James: The Complete Modern And Kent Recordings,Ace,"Miss Peaches, 1954-9, rocking the hell out with Richard Berry, Lee Allen, Dave Bartholomew and co.",Blues
Blind Lemon Jefferson,"How Long, How Long Lasting Loving",Monk,1928 Paramounts.,Blues
Jesse Fuller,Working On The Railroad,Mississippi,NA,Blues
Jimmy Rogers,Chicago Bound - Complete Solo Chess Records 1950-59,Jasmine,NA,Blues
John E. Tinsley,Country Blues Roots Revisited,Manufactured Recordings,NA,Blues
John Lee Hooker,Folk Blues,Dol,"Sides from 1954 — with the exception of Rock House Boogie, from two years earlier — with the mighty Eddie Kirkland on second guitar.",Blues
John Lee Hooker,The Country Blues Of John Lee Hooker,Cornbread,"Stripped Hooker, with just his acoustic guitar, in 1959.",Blues
John Lee Hooker,Travelin',Dol,NA,Blues
John Lee Hooker,The Classic Early Years 1948-1955,JSP,NA,Blues
John Lee Hooker,I'm John Lee Hooker,Dol,NA,Blues
John Lee Hooker,Free Beer And Chicken,ABC,Funk from John Lee.,Blues
John Lee Hooker,The Blues,Dol,"Earth-tilting stompers from the turn of the 1940s — hit after hit, cold chill after cold chill.",Blues
John Lee Hooker,Plays And Sings The Blues,Dol,NA,Blues
John Lee Hooker,That's My Story,Riverside,By way of Waxtime.,Blues
John Lee Hooker,Burnin',Dol,NA,Blues
John Lee Hooker,House Of The Blues,Dol,NA,Blues
John Lee Hooker,Don't Turn Me From Your Door,Atlantic,LP from DOL.,Blues
John Lee Hooker,The Folk Lore Of John Lee Hooker,Dol,NA,Blues
John Lee Hooker,The Great John Lee Hooker,Dol,NA,Blues
John Lee Hooker,Driftin' Thru The Blues,Dol,NA,Blues
John Lee Hooker,Burning Hell,Dol,NA,Blues
John Lee Hooker,I'm John Lee Hooker,Cornbread,NA,Blues
John Lee Hooker,The Great John Lee Hooker,Waxtime,NA,Blues
Johnnie Frierson,Have You Been Good To Yourself,Light In The Attic,NA,Blues
Johnny 'Guitar' Watson,Untouchable! The Classic 1959-1966 Recordings,Ace,NA,Blues
Johnny 'Guitar' Watson,Space Guitar Master: The 1952-1960 Recordings,Hoodoo,NA,Blues
Johnny 'Guitar' Watson,Johnny Guitar Watson,Dol,NA,Blues
Johnny Shines,Standing At The Crossroads,Pure Pleasure,"Stone-classic country blues album recorded by Pete Welding for Testament in 1970. Just singing and slide guitar, still crackling and luminous with the time Shines knocked around with Robert Johnson in the mid-30s.
“Blues is like death. Blues is when you are lost. Blues is when you are depressed but don’t know why you are depressed.”
It’s a must.",Blues
Johnson Family Singers,Don't Let The Devil Ride,Detroit Gospel Reissue Project,NA,Blues
Lonnie Johnson,The Complete Folkways Recordings,Folkways,NA,Blues
Otis G. Johnson,God Is Love,Numero,"Spectral, outsider gospel from Detroit, 1978, with Otis worryingly extemporising to himself  in the name of the Lord, and zoning out on his Hammond (with rhythm unit). Pretty gone and terrific.",Blues
Robert Johnson,The Complete Recordings,Sony,NA,Blues
Robert Johnson,King Of The Delta Blues Singers Volume II,Columbia,NA,Blues
Tommy Johnson,Cool Drink Of Water Blues,Monk,"Terrific Delta blues, up there with Charlie Patton and Son House. Canned Heat got their name from here (it means booze); and Howling Wolf got I Asked For Water (She Brought Me Gasoline).",Blues
Fern Jones,The Glory Road,Numero,Like Saturday night on a Sunday morning. Patsy on Jesus. Elvis-no-pelvis. With four celebrated Nashville sidemen fresh from June 1958 Presley sessions.,Blues
Rev. Johnny L. 'Hurricane' Jones,Jesus Christ From A To Z,Parlortone,"Drawn from the hundreds of reel-to-reels and cassettes that Jones — aka The Hurricane, The Fireball — has made of his Southern preaching, raving between speech and song, since 1960. From Dust To Digital.",Blues
Rev. Johnny L. 'Hurricane' Jones,The Hurricane That Hit Atlanta,Dust To Digital,"A sample of fifty years’ ministry: two dozen soul stirrers, with sermonettes, guest soloists and righteous radio clips. ‘A hurricane starts off slowly… when she gets a certain speed, that’s when she’s dangerous.’",Blues
Jukebox Jam!,Volume 2,Jazzman,NA,Blues
Jukebox Mambo,Rumba And Afro Latin Accented Rhythm And Blues 1949-1960,Jazzman,NA,Blues
Jukebox Mambo,Vol II: Afro-Latin Accents In Rhythm & Blues 1947-1961,Jazzman,NA,Blues
Jukebox Mambo,Volume III,Jazzman,NA,Blues
Kan Mikami,Yakichi,PSF,NA,Blues
Albert King,King Of The Blues Guitar,Atlantic,NA,Blues
Albert King & Otis Rush,Door To Door,Dol,"Otis Rush! Six sides from him here, with two Cobras revisited — including a tasty, Latinized version of All Your Love, locked down by Willie Dixon — and the unmissable Chicago blues masterpiece So Many Roads. Just for the one song, this is such a must. ",Blues
